Job Title,Company Name,Location,Experience,Link,Posted Date
Data Scientist,Adzguru Media & Technology,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-data-scientist-adzguru-media-technology-kolkata-papua-new-guinea-10-to-20-years-280724001526,2024-09-05
Data Scientist: Artificial Intelligence,IBM,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-gurugram-5-to-8-years-050924919671,2024-09-05
Intern - Data Engineering,Exponentia Datalabs,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-intern-data-engineering-exponentia-ai-private-limited-mumbai-0-to-1-years-050924019541,2024-09-05
Data Architect and Data Engineer Solution Architect,Rlabs Enterprise Services,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-data-architect-and-data-engineer-solution-architect-rlabs-enterprise-services-bengaluru-8-to-13-years-050924019450,2024-09-05
Senior Power Bi Developer,Parallel minds,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-senior-power-bi-developer-sky-services-sky-services-pune-4-to-7-years-050924019388,2024-09-05
Mis Executive,Global Zone,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-mis-executive-the-global-zone-new-delhi-3-to-8-years-050924019256,2024-09-05
Business Executive Assistant,Refex Group,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-business-executive-assistant-refex-group-chennai-3-to-7-years-050924919190,2024-09-05
Data Engineer,Accenture,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-pune-3-to-8-years-050924919091,2024-09-05
Data Scientist,Genpact,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-data-scientist-genpact-hyderabad-8-to-10-years-060624011691,2024-09-05
Business Architect,Accenture,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-business-architect-accenture-solutions-pvt-ltd-mumbai-3-to-7-years-050924918753,2024-09-05
Network Operations Representative,Accenture,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-network-operations-representative-accenture-solutions-pvt-ltd-bengaluru-3-to-7-years-050924918739,2024-09-05
Business Architect,Accenture,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-business-architect-accenture-solutions-pvt-ltd-bengaluru-7-to-11-years-050924918633,2024-09-05
As400 Developer,SS&C Technologies,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-as400-developer-ss-c-technologies-pune-5-to-10-years-050924018592,2024-09-05
Data Analyst,Talent Corner Hr Services,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-data-analyst-talent-corner-hr-services-pune-5-to-8-years-050924018529,2024-09-05
Business Architect,Accenture,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-business-architect-accenture-solutions-pvt-ltd-pune-5-to-9-years-050924918276,2024-09-05
Business Architect,Accenture,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-business-architect-accenture-solutions-pvt-ltd-mumbai-5-to-9-years-050924918257,2024-09-05
Data Engineer,Productsquads Technolabs,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-data-engineer-productsquads-technolabs-ahmedabad-3-to-8-years-050924018151,2024-09-05
Business Analyst,Accenture,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-hyderabad-3-to-5-years-050924917793,2024-09-05
Business Architect,Accenture,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-business-architect-accenture-solutions-pvt-ltd-mumbai-3-to-8-years-050924917675,2024-09-05
Data Platform Engineer,Accenture,"Kolkata(Minto Park), Papua New Guinea",10-20 Yrs,https://www.naukri.com/job-listings-data-platform-engineer-accenture-solutions-pvt-ltd-gurugram-5-to-7-years-050924917629,2024-09-05
Business Analyst,Accenture,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-bengaluru-5-to-8-years-050924917363,2024-09-05
Business Analyst,Accenture,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-pune-3-to-7-years-050924917324,2024-09-05
Business Analyst,Accenture,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-hyderabad-3-to-6-years-050924917298,2024-09-05
Senior Business Analyst,Infodrive,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-senior-business-analyst-infodrive-new-delhi-5-to-9-years-050924017193,2024-09-05
Data Scientist,Pepsico,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-data-scientist-pepsico-hyderabad-8-to-12-years-050924017181,2024-09-05
Lead Analytics - SAS with Marketing Campaign Strategy,Support Star Corporate,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-lead-analytics-sas-with-marketing-campaign-strategy-support-star-corporate-hyderabad-8-to-13-years-260824012205,2024-09-05
S&C Global Network - AI - Marketing Analytics (MMM) - Consultant,Accenture,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-s-c-global-network-ai-marketing-analytics-mmm-consultant-accenture-solutions-pvt-ltd-bengaluru-5-to-9-years-050924916921,2024-09-05
